reading frame: 26.567700 ms	encoding took: 5.779702 ms	streaming took: 0.113884 ms
reading frame: 29.993857 ms	encoding took: 6.687186 ms	streaming took: 0.121716 ms
reading frame: 25.266779 ms	encoding took: 5.317209 ms	streaming took: 0.100330 ms
reading frame: 30.566217 ms	encoding took: 5.839924 ms	streaming took: 0.138908 ms
reading frame: 26.007419 ms	encoding took: 5.246811 ms	streaming took: 0.101994 ms
reading frame: 30.415552 ms	encoding took: 5.652842 ms	streaming took: 0.126200 ms
reading frame: 26.208801 ms	encoding took: 5.516649 ms	streaming took: 0.101690 ms
reading frame: 30.766353 ms	encoding took: 5.520043 ms	streaming took: 0.095660 ms
reading frame: 25.985718 ms	encoding took: 5.399457 ms	streaming took: 0.087240 ms
reading frame: 30.405315 ms	encoding took: 6.097197 ms	streaming took: 0.103159 ms
reading frame: 25.780681 ms	encoding took: 5.424075 ms	streaming took: 0.090817 ms
reading frame: 26.509892 ms	encoding took: 5.384137 ms	streaming took: 0.093702 ms
reading frame: 30.418992 ms	encoding took: 5.449001 ms	streaming took: 0.092580 ms
reading frame: 26.477095 ms	encoding took: 5.485798 ms	streaming took: 0.085144 ms
reading frame: 30.286965 ms	encoding took: 5.638630 ms	streaming took: 0.084346 ms
reading frame: 26.222785 ms	encoding took: 5.394343 ms	streaming took: 0.082001 ms
reading frame: 30.220160 ms	encoding took: 6.743968 ms	streaming took: 0.083696 ms
reading frame: 25.433054 ms	encoding took: 5.455982 ms	streaming took: 0.087712 ms
reading frame: 30.446806 ms	encoding took: 5.319956 ms	streaming took: 0.094115 ms
reading frame: 26.498253 ms	encoding took: 5.523103 ms	streaming took: 0.097803 ms
reading frame: 30.341619 ms	encoding took: 5.164436 ms	streaming took: 0.089778 ms
reading frame: 26.555588 ms	encoding took: 8.298631 ms	streaming took: 0.100076 ms
reading frame: 27.716976 ms	encoding took: 5.115017 ms	streaming took: 0.082957 ms
reading frame: 26.736474 ms	encoding took: 5.300474 ms	streaming took: 0.085761 ms
reading frame: 30.529635 ms	encoding took: 5.353020 ms	streaming took: 0.106820 ms
reading frame: 26.582662 ms	encoding took: 5.233326 ms	streaming took: 0.127230 ms
reading frame: 30.419751 ms	encoding took: 5.210320 ms	streaming took: 0.091081 ms
reading frame: 26.797362 ms	encoding took: 5.221252 ms	streaming took: 0.085731 ms
reading frame: 31.093933 ms	encoding took: 5.269266 ms	streaming took: 0.098062 ms
reading frame: 26.020340 ms	encoding took: 5.376933 ms	streaming took: 0.106874 ms
reading frame: 30.585183 ms	encoding took: 5.677540 ms	streaming took: 0.096095 ms
reading frame: 26.016608 ms	encoding took: 6.099877 ms	streaming took: 0.123265 ms
reading frame: 29.801043 ms	encoding took: 7.245686 ms	streaming took: 0.125418 ms
reading frame: 24.723352 ms	encoding took: 5.740368 ms	streaming took: 0.085039 ms
reading frame: 29.786253 ms	encoding took: 6.101970 ms	streaming took: 0.099169 ms
reading frame: 25.988266 ms	encoding took: 5.563021 ms	streaming took: 0.092304 ms
reading frame: 30.392336 ms	encoding took: 5.721947 ms	streaming took: 0.086893 ms
reading frame: 26.545810 ms	encoding took: 6.183995 ms	streaming took: 0.116064 ms
reading frame: 29.614117 ms	encoding took: 5.603838 ms	streaming took: 0.097830 ms
reading frame: 25.841703 ms	encoding took: 6.735266 ms	streaming took: 0.135418 ms
reading frame: 29.157053 ms	encoding took: 7.601544 ms	streaming took: 0.094735 ms
reading frame: 24.360328 ms	encoding took: 5.720589 ms	streaming took: 0.124818 ms
reading frame: 30.342943 ms	encoding took: 5.659580 ms	streaming took: 0.111249 ms
reading frame: 25.912938 ms	encoding took: 6.307174 ms	streaming took: 0.100951 ms
reading frame: 29.443826 ms	encoding took: 6.388385 ms	streaming took: 0.154982 ms
reading frame: 26.064801 ms	encoding took: 5.665707 ms	streaming took: 0.098014 ms
reading frame: 29.480578 ms	encoding took: 5.488826 ms	streaming took: 0.089422 ms
reading frame: 26.392172 ms	encoding took: 5.771303 ms	streaming took: 0.148615 ms
reading frame: 30.051729 ms	encoding took: 5.519788 ms	streaming took: 0.083952 ms
reading frame: 26.435693 ms	encoding took: 5.570971 ms	streaming took: 0.097213 ms
reading frame: 30.221629 ms	encoding took: 5.698555 ms	streaming took: 0.099505 ms
